term,normalized_term,semantic_hint,source_name,source_url,source_family,source_authority_level,source_attested,derived_variant,parent_term,collision_risk,notes
3(c)(1),3(c)(1),LEGAL_CONCEPT,U.S. Securities and Exchange Commission — Small Business Capital Formation Glossary,https://www.sec.gov/resources-small-businesses/glossary,FEDERAL_REGULATOR_SECURITIES,HIGH,True,False,,MEDIUM,securities-law section shorthand
3(c)(7),3(c)(7),LEGAL_CONCEPT,U.S. Securities and Exchange Commission — Small Business Capital Formation Glossary,https://www.sec.gov/resources-small-businesses/glossary,FEDERAL_REGULATOR_SECURITIES,HIGH,True,False,,MEDIUM,securities-law section shorthand
341 meeting,341 meeting,PROCESS_EVENT|COURT_PROCEDURE,U.S. Court of Appeals for the Ninth Circuit — Glossary of Legal Terms,https://www.ca9.uscourts.gov/guides-resources/glossary/,FEDERAL_APPELLATE_COURT,HIGH,True,False,,LOW,bankruptcy
abandoned application (trademarks),abandoned application (trademarks),LEGAL_CONCEPT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,LOW,
abandonment (patent),abandonment (patent),LEGAL_CONCEPT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,MEDIUM,ordinary/legal collision
Abstract of Judgment,abstract of judgment,DOCUMENT,"Superior Court of California, County of San Bernardino — Glossary of Civil Terms",https://sanbernardino.courts.ca.gov/divisions/civil/glossary-civil-terms,STATE_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
abstract of the disclosure,abstract of the disclosure,DOCUMENT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,LOW,patent
Accelerated Filer,accelerated filer,ROLE|LEGAL_CONCEPT,U.S. Securities and Exchange Commission — Small Business Capital Formation Glossary,https://www.sec.gov/resources-small-businesses/glossary,FEDERAL_REGULATOR_SECURITIES,HIGH,True,False,,LOW,
Accelerator,accelerator,ORGANIZATION,U.S. Securities and Exchange Commission — Small Business Capital Formation Glossary,https://www.sec.gov/resources-small-businesses/glossary,FEDERAL_REGULATOR_SECURITIES,HIGH,True,False,,HIGH,ordinary/business collision
Accounts Payable,accounts payable,OTHER_DOMAIN_TERM,U.S. Securities and Exchange Commission — Small Business Capital Formation Glossary,https://www.sec.gov/resources-small-businesses/glossary,FEDERAL_REGULATOR_SECURITIES,HIGH,True,False,,HIGH,finance/accounting collision
Accounts Receivable,accounts receivable,OTHER_DOMAIN_TERM,U.S. Securities and Exchange Commission — Small Business Capital Formation Glossary,https://www.sec.gov/resources-small-businesses/glossary,FEDERAL_REGULATOR_SECURITIES,HIGH,True,False,,HIGH,finance/accounting collision
Acquittal,acquittal,PROCESS_EVENT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
