term,normalized_term,semantic_hint,source_name,source_url,source_family,source_authority_level,source_attested,derived_variant,parent_term,collision_risk,notes
Accreditation,accreditation,PROCESS_EVENT,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
ACIP,acip,AMBIGUOUS,CDC HCP Terminology,https://www.cdc.gov/infection-control/hcp/healthcare-personnel-infrastructure-routine-practices/terminology.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,HIGH,Source-attested abbreviation; expansion: Advisory Committee on Immunization Practices; abbreviation; abbreviation may have non-medical expansions
ACOEM,acoem,AMBIGUOUS,CDC HCP Terminology,https://www.cdc.gov/infection-control/hcp/healthcare-personnel-infrastructure-routine-practices/terminology.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,MEDIUM,Source-attested abbreviation; expansion: American College of Occupational and Environmental Medicine; abbreviation; abbreviation may have non-medical expansions
ADA,ada,AMBIGUOUS,CDC HCP Terminology,https://www.cdc.gov/infection-control/hcp/healthcare-personnel-infrastructure-routine-practices/terminology.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,HIGH,Source-attested abbreviation; expansion: Americans with Disabilities Act; abbreviation; abbreviation may have non-medical expansions
Adrenal Glands,adrenal glands,ANATOMY,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
age adjusted mortality rate,age adjusted mortality rate,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,FALSE,TRUE,Age-Adjusted Mortality Rate,LOW,Conservative deterministic orthographic variant; not independently source-attested.
age specific mortality rate,age specific mortality rate,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,FALSE,TRUE,Age-Specific Mortality Rate,LOW,Conservative deterministic orthographic variant; not independently source-attested.
Age-Adjusted Mortality Rate,age-adjusted mortality rate,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Age-Specific Mortality Rate,age-specific mortality rate,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Agent,agent,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,MEDIUM,ordinary-English collision
Allowed amount,allowed amount,BILLING_CODING,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Ambulatory Surgery Centers,ambulatory surgery centers,ORGANIZATION_DEPARTMENT,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Analgesics,analgesics,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Analytic Epidemiology,analytic epidemiology,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Analytic Study,analytic study,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Anemia,anemia,CONDITION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Anesthesiologists,anesthesiologists,ROLE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Anesthesiology,anesthesiology,ORGANIZATION_DEPARTMENT,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Anesthetics,anesthetics,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Angiography,angiography,PROCEDURE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Anti-Bacterial Agents,anti-bacterial agents,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
"Anti-Inflammatory Agents, Non-Steroidal","anti-inflammatory agents, non-steroidal",MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
