term,normalized_term,semantic_hint,category,jurisdiction,source_name,source_url,source_family,source_authority,source_authority_level,source_attested,derived_variant,parent_term,acronym,acronym_expansion,collision_risk,license_status,retrieval_date,notes,collision_census_name,cross_evidence_overlaps
AAC,aac,IDENTIFIER_TYPE,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,Activity Address Code,AAC,Activity Address Code,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Access,access,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Accession,accession,PROCESS_EVENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
ACF,acf,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,Administration for Children and Families,ACF,Administration for Children and Families,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
ACHP,achp,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,Advisory Council on Historic Preservation,ACHP,Advisory Council on Historic Preservation,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Acquisition,acquisition,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,FAR 2.101,false,
Acquisition Planning,acquisition planning,PROCESS_EVENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Active Records,active records,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Activity Address Code,activity address code,IDENTIFIER_TYPE,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,AAC,Activity Address Code,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
ACUS,acus,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,Administrative Conference of the United States,ACUS,Administrative Conference of the United States,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Adequate Evidence,adequate evidence,LEGAL_ADMIN,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Administration for Children and Families,administration for children and families,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,ACF,Administration for Children and Families,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
Administrative Conference of the United States,administrative conference of the united states,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,ACUS,Administrative Conference of the United States,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
Administrative FOIA Appeal,administrative foia appeal,ADMINISTRATIVE_PROCEEDING,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,LOW,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Administrative Office of the U.S. Courts,administrative office of the u.s. courts,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
Administrative Practice and Procedure,administrative practice and procedure,RULEMAKING,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; terminology only,2026-08-10,CFR indexing term,false,
Administrative Records,administrative records,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Advance Notice of Proposed Rulemaking,advance notice of proposed rulemaking,RULEMAKING,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,ANPRM,Advance Notice of Proposed Rulemaking,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,explicit rulemaking acronym,false,
Advisory and Assistance Services,advisory and assistance services,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Advisory Committees,advisory committees,GOVERNMENT_STRUCTURE,PUBLIC_MEETINGS,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,CFR indexing term,false,
Advisory Council on Historic Preservation,advisory council on historic preservation,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,ACHP,Advisory Council on Historic Preservation,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
Affiliates,affiliates,ORGANIZATION,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Agency,agency,GOVERNMENT_STRUCTURE,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,HIGH,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,FOIA glossary sense,false,
Agency Component,agency component,GOVERNMENT_STRUCTURE,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Agency Docket,agency docket,DOCUMENT_SYSTEM,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Agency for Healthcare Research and Quality,agency for healthcare research and quality,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,AHRQ,Agency for Healthcare Research and Quality,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
Agency Head,agency head,ROLE,GOVERNMENT_STRUCTURE,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Agency Mission,agency mission,PROGRAM_ADMIN,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Agency Record,agency record,RECORDS_INFORMATION,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Agency Records Officer,agency records officer,ROLE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,ARO,Agency Records Officer,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,explicit source acronym,false,
Agency Records Schedule,agency records schedule,DOCUMENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,LOW,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Agency Specific Data Sets,agency specific data sets,DATA_SYSTEM,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,source-attested glossary heading,false,
Agricultural Marketing Service,agricultural marketing service,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,AMS,Agricultural Marketing Service,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
Agricultural Research Service,agricultural research service,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,ARS,Agricultural Research Service,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
AHRQ,ahrq,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,Agency for Healthcare Research and Quality,AHRQ,Agency for Healthcare Research and Quality,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Alcohol and Tobacco Tax and Trade Bureau,alcohol and tobacco tax and trade bureau,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,TTB,Alcohol and Tobacco Tax and Trade Bureau,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
